Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Finished,45,2,512-1,Landon La Grange,RSA,no,,M,Cape Air,Grand Masters,48:45.6,4:57:43.0,4:55:35.0,3:11:18.0,13:53:21.6,+3:15:00.4
Finished,45,2,512-2,Gavin Viljoen,RSA,no,,M,Cape Air,Grand Masters,48:45.6,4:57:43.0,4:55:35.0,3:11:18.0,13:53:21.6,+3:15:00.4
Finished,46,7,111-1,Rebecca McConnell,AUS,yes,10075237729,F,Primaflor Mondraker Rotor (PMR),Women,44:57.1,4:59:41.0,5:02:09.0,3:07:26.0,13:54:13.1,+3:15:51.9
Finished,46,7,111-2,Githa Michiels,BEL,yes,10003951015,F,Primaflor Mondraker Rotor (PMR),Women,44:57.1,4:59:41.0,5:02:09.0,3:07:26.0,13:54:13.1,+3:15:51.9
Finished,47,36,48-1,Ido Shavit,ISR,no,,M,Mother Fuckers,Men,47:05.6,5:04:12.0,4:51:43.0,3:11:36.0,13:54:36.6,+3:16:15.4
Finished,47,36,48-2,Boaz Hemmo,ISR,no,,M,Mother Fuckers,Men,47:05.6,5:04:12.0,4:51:43.0,3:11:36.0,13:54:36.6,+3:16:15.4
Finished,48,37,72-1,Liav Ezer,ISR,no,,M,LG-Riders,Men,49:19.1,5:06:37.0,4:40:05.0,3:19:23.0,13:55:24.1,+3:17:02.9
Finished,48,37,72-2,Guy Shabi,ISR,no,,M,LG-Riders,Men,49:19.1,5:06:37.0,4:40:05.0,3:19:23.0,13:55:24.1,+3:17:02.9
Finished,49,8,103-1,Naama Noyman,ISR,yes,10009828710,F,Joe's No Flats (TMM),Women,49:15.9,5:06:46.0,4:40:09.0,3:21:20.0,13:57:30.9,+3:19:09.7
Finished,49,8,103-2,Antonia Daubermann,GER,yes,10009586109,F,Joe's No Flats (TMM),Women,49:15.9,5:06:46.0,4:40:09.0,3:21:20.0,13:57:30.9,+3:19:09.7
