Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Finished,143,42,362-2,Henk Adendorff,RSA,no,,M,Anderson Transport,Masters,51:54.2,6:24:40.0,6:13:49.0,13:30:23.2,+5:26:33.0
Finished,144,43,394-1,Louis Anderson,RSA,no,,M,Anderson Brothers,Masters,53:48.2,6:24:41.0,6:13:49.0,13:32:18.2,+5:28:28.0
Finished,144,43,394-2,Heimer Anderson,RSA,no,,M,Anderson Brothers,Masters,53:48.2,6:24:41.0,6:13:49.0,13:32:18.2,+5:28:28.0
Finished,145,15,511-1,Julian Zetler,RSA,no,,M,Sakkie?s Dream team,Grand Masters,54:14.4,6:47:44.0,5:52:18.0,13:34:16.4,+5:30:26.2
Finished,145,15,511-2,Issac Borochwitz,RSA,no,,M,Sakkie?s Dream team,Grand Masters,54:14.4,6:47:44.0,5:52:18.0,13:34:16.4,+5:30:26.2
Finished,146,71,58-1,Aleksey Korablov,ISR,no,,M,ErAl,Men,55:32.9,6:17:59.0,6:22:01.0,13:35:32.9,+5:31:42.7
Finished,146,71,58-2,Eran Ashkary,ISR,no,,M,ErAl,Men,55:32.9,6:17:59.0,6:22:01.0,13:35:32.9,+5:31:42.7
Finished,147,44,343-1,Tzach Cohen,ISR,no,,M,500watt,Masters,57:45.9,6:24:17.0,6:16:17.0,13:38:19.9,+5:34:29.7
Finished,147,44,343-2,Yoav Horowitz,ISR,no,,M,500watt,Masters,57:45.9,6:24:17.0,6:16:17.0,13:38:19.9,+5:34:29.7
Finished,148,45,306-1,Ilan Zimet,SUI,no,,M,GOOO SWISS,Masters,53:45.7,6:22:53.0,6:21:43.0,13:38:21.7,+5:34:31.5
Finished,148,45,306-2,Ido Dolev,SUI,no,,M,GOOO SWISS,Masters,53:45.7,6:22:53.0,6:21:43.0,13:38:21.7,+5:34:31.5
Finished,149,46,315-1,Tsur Bdolach,ISR,no,,M,nir&tsur,Masters,52:50.4,6:36:07.0,6:10:02.0,13:38:59.4,+5:35:09.2
Finished,149,46,315-2,Maoz Paz-Tal,ISR,no,,M,nir&tsur,Masters,52:50.4,6:36:07.0,6:10:02.0,13:38:59.4,+5:35:09.2
Finished,150,47,379-1,Sagi Ben Zvi,ISR,no,,M,500TRI,Masters,54:48.2,6:05:52.0,6:39:34.0,13:40:14.2,+5:36:24.0
Finished,150,47,379-2,Oved Armoza,ISR,no,,M,500TRI,Masters,54:48.2,6:05:52.0,6:39:34.0,13:40:14.2,+5:36:24.0
Finished,151,48,353-1,Ronen Pinhas,ISR,no,,M,RORA,Masters,56:52.7,6:36:11.0,6:08:58.0,13:42:01.7,+5:38:11.5
Finished,151,48,353-2,Ran Tavor,ISR,no,,M,RORA,Masters,56:52.7,6:36:11.0,6:08:58.0,13:42:01.7,+5:38:11.5
Finished,152,16,508-1,Reiner Fritz,GER,no,,M,derfaller2,Grand Masters,1:11:36.8,5:50:31.0,6:40:43.0,13:42:50.8,+5:39:00.6
Finished,152,16,508-2,Edwin Urs Schlaegel,GER,no,,M,derfaller2,Grand Masters,1:11:36.8,5:50:31.0,6:40:43.0,13:42:50.8,+5:39:00.6
Finished,153,49,307-1,Guy Zukerman,USA,no,,M,Team Israel Los Angeles,Masters,54:43.2,6:21:04.0,6:27:20.0,13:43:07.2,+5:39:17.0
Finished,153,49,307-2,Ronen Ben Hamo,USA,no,,M,Team Israel Los Angeles,Masters,54:43.2,6:21:04.0,6:27:20.0,13:43:07.2,+5:39:17.0
